,Date,Word,Clue,_f_number words,_f_length of clue,_f_avg word length,_f_percentage words that are upper-case,_f_ends in question,_f_no alphabet characters,_f_is quote,_f_contains underscore,_f_contains asterisk,_f_number of non-consecutive periods in clue,_f_is ellipsis in clue,_f_number commas in clue,_f_number non a-z or 1-9 characters in clue,_f_contains e.g.,_f_contains etc.,_f_contains in short,_f_contains briefly,_f_contains dir.,_f_contains bible clue,"_f_contains ,maybe or ,perhaps",_f_contains word before,_f_MentionsProfession
115,10/31/2021,REZONES,"Changes from commercial to residential, perhaps",6,47,7.0,0.0,False,6,False,False,False,0,False,1,0.1276595744680851,False,False,False,False,False,False,True,False,False
236,10/29/2021,SAYSYES,"Accepts a ring, perhaps",4,23,5.0,0.0,False,4,False,False,False,0,False,1,0.17391304347826086,False,False,False,False,False,False,True,False,False
252,10/29/2021,PREMED,"Taking a heavy science course load, perhaps",7,43,5.285714285714286,0.0,False,7,False,False,False,0,False,1,0.16279069767441862,False,False,False,False,False,False,True,False,False
604,10/24/2021,LOFT,"Converted apartment, perhaps",3,28,8.666666666666666,0.0,False,3,False,False,False,0,False,1,0.10714285714285714,False,False,False,False,False,False,True,False,False
698,10/23/2021,TUX,"Duds at an awards ceremony, maybe",6,33,4.666666666666667,0.16666666666666666,False,6,False,False,False,0,False,1,0.18181818181818182,False,False,False,False,False,False,True,False,False
793,10/22/2021,OOZE,"Move, maybe ominously",3,21,6.333333333333333,0.3333333333333333,False,3,False,False,False,0,False,1,0.14285714285714285,False,False,False,False,False,False,True,False,False
907,10/20/2021,LOOSEN,"Let out a notch, perhaps",5,24,4.0,0.0,False,5,False,False,False,0,False,1,0.20833333333333334,False,False,False,False,False,False,True,False,False
972,10/19/2021,PEST,"Persistent little sibling, maybe",4,32,7.25,0.0,False,4,False,False,False,0,False,1,0.125,False,False,False,False,False,False,True,False,False
1079,10/17/2021,OMITS,"Conveniently forgets to mention, maybe",5,38,6.8,0.0,False,5,False,False,False,0,False,1,0.13157894736842105,False,False,False,False,False,False,True,False,False
1353,10/14/2021,TYPO,"Run for fun, perhaps",4,20,4.25,0.25,False,4,False,False,False,0,False,1,0.2,False,False,False,False,False,False,True,False,False
1364,10/14/2021,TIKIBAR,"Stand by the pool, maybe",5,24,4.0,0.0,False,5,False,False,False,0,False,1,0.20833333333333334,False,False,False,False,False,False,True,False,False
1540,10/12/2021,DONOR,"Name on a building wing, perhaps",6,32,4.5,0.0,False,6,False,False,False,0,False,1,0.1875,False,False,False,False,False,False,True,False,False
1593,10/11/2021,ARTBOOK,"Purchase at the Met museum, maybe",6,33,4.666666666666667,0.16666666666666666,False,6,False,False,False,0,False,1,0.18181818181818182,False,False,False,False,False,False,True,False,False
1856,10/8/2021,GLIB,"A bit too articulate, perhaps",5,29,5.0,0.0,False,5,False,False,False,0,False,1,0.1724137931034483,False,False,False,False,False,False,True,False,False
1898,10/7/2021,EXAM,"Proctored event, maybe",3,22,6.666666666666667,0.3333333333333333,False,3,False,False,False,0,False,1,0.13636363636363635,False,False,False,False,False,False,True,False,False
1982,10/6/2021,OWE,"Be in a red state, perhaps",6,26,3.5,0.16666666666666666,False,6,False,False,False,0,False,1,0.23076923076923078,False,False,False,False,False,False,True,False,False
2150,10/3/2021,BFF,"Person who likes all your FB posts, perhaps",8,43,4.5,0.25,False,8,False,False,False,0,False,1,0.18604651162790697,False,False,False,False,False,False,True,False,False
2380,10/1/2021,QTIP,"Sample collector, maybe",3,23,7.0,0.3333333333333333,False,3,False,False,False,0,False,1,0.13043478260869565,False,False,False,False,False,False,True,False,False
