,Date,Word,Clue,_f_number words,_f_length of clue,_f_avg word length,_f_percentage words that are upper-case,_f_ends in question,_f_no alphabet characters,_f_is quote,_f_contains underscore,_f_contains asterisk,_f_number of non-consecutive periods in clue,_f_is ellipsis in clue,_f_number commas in clue,_f_number non a-z or 1-9 characters in clue,_f_contains e.g.,_f_contains etc.,_f_contains in short,_f_contains briefly,_f_contains dir.,_f_contains exclamation,_f_contains kind of,_f_contains bible clue,"_f_contains ,maybe or ,perhaps",_f_contains word before,_f_MentionsProfession
275,10/28/2021,PENAL,Kind of reform or code,5,22,3.6,0.2,False,4,False,False,False,0,True,0,0.18181818181818182,False,False,False,False,False,False,True,False,False,False,False
468,10/26/2021,THAI,Kind of cuisine offering tom yung goong and tom kha kai,11,55,4.090909090909091,0.09090909090909091,False,10,False,False,False,0,True,0,0.18181818181818182,False,False,False,False,False,False,True,False,False,False,False
517,10/25/2021,SNOOZE,Kind of alarm often activated in the morning,8,44,4.625,0.125,False,7,False,False,False,0,True,0,0.1590909090909091,False,False,False,False,False,False,True,False,False,False,False
553,10/24/2021,HULA,Kind of skirt,3,13,3.6666666666666665,0.3333333333333333,False,2,False,False,False,0,True,0,0.15384615384615385,False,False,False,False,False,False,True,False,False,False,False
728,10/23/2021,DATING,Kind of pool,3,12,3.3333333333333335,0.3333333333333333,False,2,False,False,False,0,True,0,0.16666666666666666,False,False,False,False,False,False,True,False,False,False,False
849,10/21/2021,PIXIE,Kind of short cut,4,17,3.5,0.25,False,3,False,False,False,0,True,0,0.17647058823529413,False,False,False,False,False,False,True,False,False,False,False
897,10/20/2021,ORCHARD,"<em>""What kind of greens do you want? Spinach ___?""</em>",9,56,5.333333333333333,0.1111111111111111,False,20,False,True,False,0,True,0,0.35714285714285715,False,False,False,False,False,False,True,False,False,False,False
1037,10/18/2021,ALTO,Kind of sax,3,11,3.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.18181818181818182,False,False,False,False,False,False,True,False,False,False,False
1301,10/15/2021,KODAK,Kind of moment worth recording,5,30,5.2,0.2,False,4,False,False,False,0,True,0,0.13333333333333333,False,False,False,False,False,False,True,False,False,False,False
2039,10/5/2021,AIOLI,Kind of sauce,3,13,3.6666666666666665,0.3333333333333333,False,2,False,False,False,0,True,0,0.15384615384615385,False,False,False,False,False,False,True,False,False,False,False
2260,10/3/2021,MANTA,Kind of ray,3,11,3.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.18181818181818182,False,False,False,False,False,False,True,False,False,False,False
2749,9/26/2021,AGAVE,Kind of syrup that's an alternative to honey,8,44,4.625,0.125,False,8,False,False,False,0,True,0,0.18181818181818182,False,False,False,False,False,False,True,False,False,False,False
2786,9/26/2021,BIMODAL,Kind of data distribution with two peaks,7,40,4.857142857142857,0.14285714285714285,False,6,False,False,False,0,True,0,0.15,False,False,False,False,False,False,True,False,False,False,False
2841,9/25/2021,GENEVA,Kind of typeface or Pepperidge Farm cookie,7,42,5.142857142857143,0.42857142857142855,False,6,False,False,False,0,True,0,0.14285714285714285,False,False,False,False,False,False,True,False,False,False,False
3391,9/18/2021,OIL,Kind of change,3,14,4.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.14285714285714285,False,False,False,False,False,False,True,False,False,False,False
