,Date,Word,clue,_f_number words,_f_length of clue,_f_avg word length,_f_percentage words that are upper-case,_f_ends in question,_f_no alphabet characters,_f_is quote,_f_contains underscore,_f_contains asterisk,_f_number of non-consecutive periods in clue,_f_is ellipsis in clue,_f_number commas in clue,_f_number non a-z or 1-9 characters in clue,_f_contains e.g.,_f_contains etc.,_f_contains in short,_f_contains abbr,_f_contains amts.,_f_contains briefly,_f_contains dir.,_f_contains exclamation,_f_starts with kind of,_f_contains it may be,_f_contains bible clue,"_f_contains ,maybe or ,perhaps",_f_contains word before,_f_MentionsProfession,_f_is_100_most_common_clue
0,10/31/2021,PAT,"Action done while saying ""Good dog""",6,35,5.0,0.3333333333333333,False,7,False,False,False,0,True,0,0.2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520281,3/19/2003,HORSE,Cowboy's companion,2,18,8.5,0.5,False,2,False,False,False,0,True,0,0.1111111111111111,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520282,3/19/2003,ONEAM,Wee hour,2,8,3.5,0.5,False,1,False,False,False,0,True,0,0.125,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520283,3/19/2003,ALIVE,Breathing,1,9,9.0,0.0,False,0,False,False,False,0,True,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520284,3/19/2003,RYDERCUP,Coveted golf trophy,3,19,5.666666666666667,0.0,False,2,False,False,False,0,True,0,0.10526315789473684,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520285,3/19/2003,SHAVES,Tonsorial touchups,2,18,8.5,0.0,False,1,False,False,False,0,True,0,0.05555555555555555,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520286,3/19/2003,META,Introduction to physics?,3,24,7.333333333333333,0.0,True,3,False,False,False,0,True,0,0.125,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520287,3/19/2003,ALPS,Skier's mecca,2,13,6.0,0.5,False,2,False,False,False,0,True,0,0.15384615384615385,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520288,3/19/2003,SLAV,"Pole, for one",3,13,3.6666666666666665,0.3333333333333333,False,3,False,False,False,0,True,1,0.23076923076923078,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520289,3/19/2003,HORA,Round dance,2,11,5.0,0.5,False,1,False,False,False,0,True,0,0.09090909090909091,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520290,3/19/2003,ECZEMA,Skin condition,2,14,6.5,0.5,False,1,False,False,False,0,True,0,0.07142857142857142,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520291,3/19/2003,ZOO,Vet's employer,2,14,6.5,0.5,False,2,False,False,False,0,True,0,0.14285714285714285,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520292,3/19/2003,RAN,Turned tail,2,11,5.0,0.0,False,1,False,False,False,0,True,0,0.09090909090909091,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520293,3/19/2003,AXE,Fire,1,4,4.0,0.0,False,0,False,False,False,0,True,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520294,3/19/2003,EGAD,"""Yikes!""",1,8,8.0,0.0,False,3,True,False,False,0,True,0,0.375,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
520295,3/19/2003,SESS,Cong. meeting,2,13,6.0,0.5,False,2,False,False,False,1,True,0,0.15384615384615385,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520296,3/19/2003,ACMES,High points,2,11,5.0,0.0,False,1,False,False,False,0,True,0,0.09090909090909091,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520297,3/19/2003,ITISI,"""Who's there?"" response",3,23,7.0,0.0,False,6,False,False,False,0,True,0,0.2608695652173913,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520298,3/19/2003,LSATS,Future attys.' hurdles,3,22,6.666666666666667,0.0,False,4,False,False,False,1,True,0,0.18181818181818182,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520299,3/19/2003,TRAIT,"Albinism, e.g.",2,14,6.5,0.0,False,4,False,False,False,2,True,1,0.2857142857142857,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520280,3/19/2003,FOYS,Noted vaudeville family,3,23,7.0,0.0,False,2,False,False,False,0,True,0,0.08695652173913043,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520279,3/19/2003,EMERY,File material,2,13,6.0,0.5,False,1,False,False,False,0,True,0,0.07692307692307693,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
