,Date,Word,Clue,Primary Cluster,Cluster,ends in question,number words,length of clue,no alphabet characters,is quote,contains underscore,contains asterisk,contains done,number of non-consecutive periods in clue,is ellipsis in clue,avg word length,number commas in clue,percentage words (other than first word) that are upper-case,number non a-z or 1-9 characters in clue,contains e.g.,contains etc.,in vocab
0,12/6/2018,DAINTY,Small and delicate,Other,,False,3,18,2,False,False,False,False,0,False,5.333333333333333,0,0.0,0.1111111111111111,False,False,True
1,9/30/2018,POLYSCI,"Government study, informally",Other,,False,3,28,3,False,False,False,False,0,False,8.666666666666666,1,0.3333333333333333,0.10714285714285714,False,False,False
2,2/10/2021,CATTY,Slyly spiteful,Other,,False,2,14,1,False,False,False,False,0,False,6.5,0,0.5,0.07142857142857142,False,False,True
3,11/22/2018,TREND,Statistician's observation,Other,,False,2,26,2,False,False,False,False,0,False,12.5,0,0.0,0.07692307692307693,False,False,True
4,3/19/2018,SHOED,Did a blacksmith's job on,Other,,False,5,25,5,False,False,False,False,0,False,4.2,0,0.2,0.2,False,False,False
5,11/25/2018,ISSEI,First-generation Japanese-American,Other,,False,2,34,3,False,False,False,False,0,False,16.5,0,0.5,0.08823529411764706,False,False,True
6,8/4/2018,EXMATE,"Divorce, e.g.",Other,,False,2,13,4,False,False,False,False,2,False,6.0,1,0.5,0.3076923076923077,True,False,False
7,9/18/2018,IMAC,Chromebook competitor,Other,,False,2,21,1,False,False,False,False,0,False,10.0,0,0.5,0.047619047619047616,False,False,False
8,7/15/2019,REPAST,Meal,Single Word,,False,1,4,0,False,False,False,False,0,False,4.0,0,0.0,0.0,False,False,True
9,12/16/2019,DRS,A.M.A. members,Other,,False,2,14,4,False,False,False,False,3,False,6.5,0,0.5,0.2857142857142857,False,False,False
10,10/26/2020,SADIE,Title woman in songs by the Beatles and the Spinners,Other,,False,10,52,9,False,False,False,False,0,False,4.3,0,0.3,0.17307692307692307,False,False,True
11,4/7/2020,ASCOT,"Fred's neckwear on ""Scooby-Doo""",Other,,False,4,31,7,False,False,False,False,0,False,7.0,0,0.5,0.22580645161290322,False,False,True
12,2/26/2020,PANAM,Old airline with a globe in its logo,Other,,False,8,36,7,False,False,False,False,0,False,3.625,0,0.125,0.19444444444444445,False,False,False
