,clue,Word,count,other Word results
260514,Jai ___,ALAI,122,[]
555273,___ Lingus,AER,88,[]
63653,Architect Saarinen,EERO,74,['ELIEL']
5359,"""Dies ___""",IRAE,68,[]
308846,Mauna ___,LOA,66,['KEA']
560687,___-Magnon,CRO,66,[]
407044,Regarding,ASTO,65,"['ABOUT', 'APROPOS', 'ASPER', 'ASFOR', 'ANENT', 'INRE']"
50841,Actress Thurman,UMA,64,[]
555184,___ Lanka,SRI,64,[]
330394,Neither's partner,NOR,55,[]
557245,___ avis,RARA,54,[]
359042,Otherwise,ELSE,53,['IFNOT']
282799,Like,ALA,52,"['CAREFOR', 'SUCHAS', 'SIMILAR', 'AKIN', 'GOFOR', 'COTTONTO', 'ASIF', 'DIG', 'ASTHOUGH', 'AKINTO', 'FANCY']"
392048,Pro ___,RATA,51,"['FORMA', 'TIP', 'TEM', 'BONO']"
123723,Coach Parseghian,ARA,51,[]
248337,Inter ___,ALIA,50,[]
561058,___-mo,SLO,50,[]
200206,From ___ Z,ATO,49,[]
558820,___ mater,ALMA,49,"['PIA', 'DURA']"
559469,___ polloi,HOI,49,[]
47310,About,INRE,49,"['ASFOR', 'AROUND', 'ASTIR', 'ASTO', 'ORSO', 'ANENT', 'CIRCA', 'NEAR']"
99818,Burden,ONUS,49,"['SADDLE', 'DEBT', 'LOAD', 'TAX']"
239132,Hubbub,ADO,49,"['FRENZY', 'UPROAR', 'STIR', 'HOOHA', 'FUROR', 'ROAR', 'DIN', 'NOISE', 'BROUHAHA', 'CLAMOR', 'BABEL', 'TODO']"
402477,Rap's Dr. ___,DRE,49,[]
49560,Actor Morales,ESAI,48,[]
555622,___ Na Na,SHA,48,[]
364839,Part of Q.E.D.,ERAT,47,['QUOD']
308845,Mauna ___,KEA,47,['LOA']
422420,Santa ___ winds,ANA,45,[]
560455,___'acte,ENTR,45,[]
209383,Give off,EMIT,45,"['EGEST', 'EMANATE', 'EXUDE']"
154050,Director Kazan,ELIA,45,[]
561041,___-majeste,LESE,44,[]
70227,Aware of,ONTO,44,"['WISETO', 'HIPTO', 'UPON', 'INON']"
346852,On,ATOP,44,"['ABOUT', 'ABOARD', 'ASTRIDE', 'LIT', 'ASTO', 'INRE', 'AIRING']"
442017,Singer Sumac,YMA,44,[]
476337,Sugar suffix,OSE,43,[]
65920,Asia's ___ Sea,ARAL,42,['CASPIAN']
101439,By way of,VIA,42,"['THRU', 'PER']"
153961,Directional suffix,ERN,42,[]
560304,___ vera,ALOE,42,[]
464123,Squeeze (out),EKE,42,[]
55935,Alley ___,OOP,41,['TORNADO']
558992,___ nous,ENTRE,41,[]
50263,Actress Gardner,AVA,41,[]
423084,Sault ___ Marie,STE,41,[]
164437,Each,APOP,40,"['APIECE', 'PER', 'AHEAD', 'EVERY']"
244375,In the past,AGO,39,"['OVERANDDONEWITH', 'THEN', 'OVER', 'ONCE', 'EARLIER']"
558154,___ facto,IPSO,39,[]
337464,Not much,ATAD,39,"['JUSTABIT', 'SMALLPOTATOES', 'ABIT', 'ALITTLE']"
559517,___ pro nobis,ORA,39,[]
114067,Charged particle,ION,39,['ANION']
422390,Santa ___,ANA,39,"['CLAUS', 'MONICA', 'CLARA', 'ANITA', 'ROSA', 'MARIA', 'CRUZ']"
80192,Beginning,ONSET,38,"['START', 'ORIGIN', 'INITIAL', 'ASOF', 'BIRTH', 'OUTSET', 'ALPHA', 'RISE', 'GENESIS', 'DAWN']"
392049,Pro ___,TEM,38,"['FORMA', 'TIP', 'RATA', 'BONO']"
267482,Killer whale,ORCA,38,[]
334236,Nobelist Wiesel,ELIE,38,[]
555837,"___ Paulo, Brazil",SAO,38,[]
309340,Meadow,LEA,37,[]
6636,"""Exodus"" hero",ARI,37,[]
388715,Prefix with center,EPI,37,[]
558642,___ kwon do,TAE,37,[]
441782,Singer DiFranco,ANI,37,[]
555800,"___ Park, Colo.",ESTES,37,[]
294228,Lock,TRESS,37,['SHOOIN']
377416,Place,LIEU,37,"['SITUATE', 'AREA', 'ORIENT', 'PUT', 'SET', 'LAY', 'LOCATION', 'SITE', 'LOCUS', 'SETIN', 'LOCALE', 'STEAD', 'POSIT']"
553588,___ Aviv,TEL,37,[]
162013,Droop,SAG,37,['WILT']
548685,Wrath,IRE,36,"['FURY', 'ANGER']"
560574,___-Cat,SNO,36,[]
154055,Director Lee,ANG,36,['SPIKE']
382246,Poetic preposition,ERE,36,"['NEATH', 'OER', 'THRO']"
441826,Singer Guthrie,ARLO,36,[]
131273,Concerning,ASTO,35,"['ABOUT', 'ASFOR', 'RELATEDTO', 'ANENT', 'INRE']"
190938,Fleur-de-___,LIS,35,['LYS']
274876,Lao-___,TSE,35,"['TZU', 'TSU', 'TZE']"
301078,Mai ___,TAI,35,['TAIS']
456289,Son of Seth,ENOS,35,[]
201811,Fury,IRE,35,"['ANGER', 'RAGE']"
