number,start_col,start_row,end_col,end_row,clue,"length (optional column, for checking only)","answer (optional column, for checking only)"
1,0,0,3,0,Trading post,4,MART
5,6,0,8,0,For example,3,SAY
8,11,0,15,0,Italian fashion house,5,PRADA
13,17,0,20,0,Hard-liner,4,HAWK
17,0,1,3,1,"""Ave Maria"" finale, appropriately?",4,ARIA
18,5,1,9,1,Buying binge,5,SPREE
20,11,1,15,1,Venetian magistrates of old,5,DOGES
21,17,1,20,1,French friend,4,AMIE
22,0,2,5,2,"Lead actress in ""The Lovely Bones"" (2009) and ""The Bourne Legacy"" (2012)",6,
24,11,2,11,2,Fast/car,1,
25,17,2,17,2,Wild/bunch,1,
26,0,3,6,3,"Informer, informally",7,STOOLIE
27,8,3,14,3,Cartoon character inspired by W.C. Fields,7,MRMAGOO
29,16,3,20,3,Gave a darn,5,CARED
30,3,4,7,4,"3,605, in ancient Rome",5,
32,9,4,12,4,Image on a Missouri state quarter,4,ARCH
33,16,4,20,4,Wombs,5,UTERI
34,0,5,4,5,"Italian sports cars, informally",5,ALFAS
37,6,5,8,5,Gear tooth,3,COG
39,10,5,14,5,Desirable condition for hostas,5,SHADE
42,16,5,20,5,"""Cómo ___?""",5,ESTAS
43,0,6,2,6,Divinity sch. subj.,3,REL
44,4,6,10,6,Provoked an online fight,7,TROLLED
47,12,6,14,6,Treasure,3,GEM
48,16,6,17,6,Holland/tunnel,2,
49,0,7,3,7,Figs. on flight boards,4,ETAS
51,5,7,10,7,Onetime Kia model,6,OPTIMA
52,12,7,15,7,Spot,4,ESPY
54,17,7,19,7,Tik___ challenge,3,TOK
55,0,8,5,8,Home of the Temple of Poseidon,6,ATTICA
57,8,8,11,8,Put-down,4,DISS
59,13,8,17,8,They put things on the back burner,5,COOKS
61,0,9,5,9,Stadium/timekeeper,6,
64,10,9,16,9,Smash hit,7,HOMERUN
66,18,9,20,9,Steamed Chinese bun,3,BAO
69,0,10,2,10,Exist,3,ARE
70,4,10,9,10,Your business start-up?,6,NONEOF
72,11,10,16,10,Word often shortened to a letter and a number,6,CANINE
73,18,10,20,10,"Catherine the Great, e.g.: Abbr.",3,EMP
74,0,11,2,11,Average/income,3,
75,4,11,10,11,Jeans popular in the 1980s,7,GITANOS
77,12,11,15,11,Denver/Colorado,4,
79,3,12,7,12,Name spelled by the initials of five consecutive months,5,JASON
80,9,12,12,12,"The ""E"" in G.E.: Abbr.",4,ELEC
82,15,12,20,12,Applied to,6,USEDON
83,1,13,3,13,Org. once led by George H.W. Bush,3,CIA
85,5,13,8,13,Direction of the wind that brought Mary Poppins,4,EAST
87,10,13,15,13,"Where ""Cheers"" is set",6,INABAR
90,17,13,20,13,Chart-topping Basil or Braxton,4,TONI
91,0,14,4,14,"Start of ""O Come, All Ye Faithful""",5,LONGO
93,6,14,8,14,Place to buy tickets: Abbr.,3,STA
94,10,14,16,14,Jewel case holders,7,CDRACKS
96,18,14,20,14,Architect Maya,3,LIN
97,0,15,4,15,Follow,5,ENSUE
98,6,15,10,15,"Mel who sang the 1949 #1 hit ""Careless Hands""",5,TORME
100,12,15,14,15,Year abroad,3,ANO
101,16,15,17,15,Stars and Stripes,2,
103,0,16,4,16,For the birds,5,AVIAN
104,8,16,11,16,Rainproof cover,4,TARP
106,13,16,17,16,___ bears,5,GUMMI
108,0,17,4,17,Hall-of-Famer Martínez,5,PEDRO
109,6,17,12,17,Woodworking tool with a belt,7,BANDSAW
112,14,17,20,17,"""Nothing much""",7,SAMEOLD
116,0,18,3,18,Dino/expedition,4,
