Date,Word,Clue
10/31/2021,HITORMISS,Haphazard
10/31/2021,MOOR,Heath
10/31/2021,DOORDIE,Desperate
10/31/2021,IMPOSEON,Inconvenience
10/31/2021,MOREORLESS,Approximately
10/31/2021,DAZE,Stun
10/31/2021,AIMS,Purposes
10/31/2021,POSSESS,Have
10/31/2021,REMISS,Negligent
10/31/2021,PESTERS,Bugs
10/31/2021,TALUS,Anklebone
10/31/2021,VILE,Horrid
10/31/2021,BLESSES,Consecrates
10/31/2021,ISH,Kinda
10/31/2021,TOUCHOFF,Trigger
10/31/2021,AVARICE,Cupidity
10/31/2021,TESTRUN,Trial
10/31/2021,SEWUP,Clinch
10/31/2021,LIP,Guff
10/30/2021,SATE,Stuff
10/30/2021,COOL,Refrigerate
10/30/2021,LETON,Reveal
10/30/2021,ONAROLL,Hot
10/30/2021,HULLABALOO,Commotion
10/30/2021,BEEFY,Substantial
10/30/2021,ORSO,Thereabouts
10/30/2021,WOE,Wretchedness
10/29/2021,EXEMPT,Absolved
10/29/2021,HUMONGOUS,Ginormous
10/29/2021,OLDTIME,Bygone
10/29/2021,TOWNS,Burgs
10/29/2021,APIECE,Individually
10/29/2021,BADASS,Fierce
10/29/2021,EXPERTS,Whizzes
10/29/2021,GOT,Caught
10/28/2021,ACE,Virtuoso
10/28/2021,BABE,Sweets
10/28/2021,PRIMAL,Fundamental
10/28/2021,FACILE,Adroit
10/28/2021,HASTEN,Expedite
10/28/2021,FIRE,Can
10/28/2021,STIR,Commotion
10/28/2021,SATON,Suppressed
10/28/2021,WAN,Colorless
10/27/2021,PAL,Buddy
10/27/2021,DIN,Cacophony
10/27/2021,UPEND,Overturn
10/27/2021,RASCAL,Scamp
10/27/2021,APES,Imitates
10/27/2021,BANE,Nemesis
10/27/2021,CLAD,Attired
10/27/2021,TOO,Also
10/27/2021,ARE,Exist
10/27/2021,SOSO,Uninspiring
10/27/2021,PLED,Begged
10/26/2021,AREA,Vicinity
10/26/2021,BEER,Brewski
10/26/2021,ROUSE,Awaken
10/26/2021,ERR,Goof
10/26/2021,DEER,Venison
10/25/2021,PESKY,Annoying
10/25/2021,CILIA,Eyelashes
10/25/2021,LEDGE,Overhang
10/25/2021,IRE,Fury
10/24/2021,SPAT,Tiff
10/24/2021,AMISS,Off
10/24/2021,TRIAD,Threesome
10/24/2021,AWOL,Missing
10/24/2021,DEVISES,Crafts
10/24/2021,SHIELD,Protect
10/24/2021,TAME,Subdued
10/24/2021,CELEBS,Stars
10/24/2021,DREWTO,Approached
10/24/2021,FRAY,Melee
10/24/2021,ATELESS,Dieted
10/24/2021,DAUB,Smear
10/24/2021,WEAR,Sport
10/24/2021,IMP,Rapscallion
10/23/2021,DENY,Controvert
10/23/2021,GROK,Get
10/23/2021,TAURINE,Bullish
10/23/2021,GIST,Meat
10/23/2021,TAXING,Strenuous
10/23/2021,WEE,Baby
10/22/2021,AMPLE,Abundant
10/22/2021,INEARNEST,Seriously
10/22/2021,MEANT,Intended
10/22/2021,HIKED,Upped
10/21/2021,RAGER,Blowout
10/21/2021,SASS,Freshness
10/21/2021,ILK,Variety
10/21/2021,LOOTS,Sacks
10/21/2021,WAN,Ashen
10/20/2021,LAX,Permissive
10/20/2021,RAW,Unedited
10/20/2021,FINS,Flippers
10/20/2021,AVER,Declare
10/20/2021,EAT,Swallow
10/20/2021,TRAVAIL,Labor
10/20/2021,ENROLL,Register
10/20/2021,SLY,Crafty
10/19/2021,BEST,Top
10/19/2021,PILEUP,Accumulate
10/19/2021,HOPE,Wish
10/18/2021,BUB,Pal
10/18/2021,HOG,Pig
10/18/2021,MANIAS,Frenzies
10/18/2021,WETS,Moistens
10/18/2021,EASE,Simplicity
10/18/2021,ROOF,Housetop
10/17/2021,STOIC,Unflappable
10/17/2021,SATAN,Lucifer
10/17/2021,GOO,Muck
10/17/2021,WHETS,Hones
10/17/2021,TRESS,Lock
10/17/2021,FOMENT,Instigate
10/17/2021,ASSOONAS,Once
10/17/2021,NEAT,Fastidious
10/17/2021,MESS,Pickle
10/17/2021,WRY,Droll
10/17/2021,END,Denouement
10/17/2021,LOWCAL,Lite
10/17/2021,BAA,Bleat
10/16/2021,ESCORT,Usher
10/16/2021,FILTH,Squalor
10/16/2021,FALL,Spill
10/16/2021,SEE,Realize
10/16/2021,SNIT,Huff
10/16/2021,NONE,Zip
10/16/2021,OLD,Discontinued
10/16/2021,REFEREE,Zebra
10/16/2021,INHASTE,Quickly
10/16/2021,BELLES,Beauties
10/15/2021,ENTICE,Tempt
10/15/2021,INRE,Concerning
10/14/2021,AMASS,Hoard
10/14/2021,WEIRDO,Wackadoodle
10/14/2021,ONEDGE,Wired
10/13/2021,STIRS,Awakens
10/13/2021,ATREST,Stationary
10/13/2021,FETID,Stinky
10/13/2021,STEALTH,Sneakiness
10/13/2021,HARM,Damage
10/12/2021,RAPT,Captivated
10/12/2021,INS,Connections
10/12/2021,RUE,Regret
10/10/2021,MEANIE,Jerkface
10/10/2021,MORALE,Spirits
10/10/2021,TAD,Skosh
10/10/2021,ARIOSE,Melodious
10/10/2021,SWANK,Luxurious
10/10/2021,RANT,Diatribe
10/10/2021,MORONS,Dodos
10/10/2021,EDENIC,Utopian
10/10/2021,HIT,Toke
10/9/2021,MUSS,Dishevel
10/9/2021,OVOIDAL,Egglike
10/9/2021,ORIENT,Place
10/9/2021,MOLDS,Shapes
10/9/2021,DIN,Hullabaloo
10/9/2021,AMEND,Repair
10/9/2021,TORE,Ripped
10/9/2021,NODRAMA,Easygoing
10/8/2021,AHAMOMENTS,Epiphanies
10/8/2021,THING,Object
10/8/2021,AGASP,Shocked
10/8/2021,EYEOPENERS,Epiphanies
10/8/2021,HOMIE,Bud
10/8/2021,MOBS,Packs
10/8/2021,SPECK,Iota
10/8/2021,WON,Earned
10/8/2021,PRIOR,Previous
10/8/2021,MATE,Bud
10/7/2021,EMPLOYED,Working
10/7/2021,ALISTER,Celeb
10/7/2021,STASIS,Equilibrium
10/7/2021,SPLITUP,Separate
10/7/2021,TOPE,Imbibe
10/6/2021,HAS,Holds
10/6/2021,ASKANCE,Obliquely
10/6/2021,DOLT,Meathead
10/6/2021,ATE,Consumed
10/6/2021,SNIDE,Cutting
10/6/2021,PASSAGE,Excerpt
10/6/2021,FEDON,Consumed
10/6/2021,CAN,Pokey
10/6/2021,EGGON,Incite
10/6/2021,GEMS,Masterpieces
10/5/2021,LUG,Oaf
10/5/2021,AGREE,Concur
10/5/2021,ASHEN,Pale
10/5/2021,WIN,Victory
10/5/2021,CHEFSHAT,Toque
10/5/2021,HATES,Abhors
10/5/2021,SUNNY,Optimistic
10/4/2021,LEANS,Tilts
10/3/2021,TRY,Endeavor
10/3/2021,AGAZE,Transfixed
10/3/2021,DITZES,Scatterbrains
10/3/2021,MANIA,Frenzy
10/3/2021,EARNS,Makes
10/3/2021,BLAZE,Conflagration
10/3/2021,FAZES,Rattles
10/3/2021,RAZES,Levels
10/3/2021,DAZE,Stupor
10/3/2021,SCAD,Multitude
10/3/2021,ERSATZ,Counterfeit
10/3/2021,CARPS,Kvetches
10/3/2021,USES,Exploits
10/2/2021,ASLANT,Biased
10/2/2021,LAD,Sprout
10/2/2021,DEEM,Judge
10/2/2021,DEEPEN,Intensify
10/1/2021,RIDE,Badger
10/1/2021,LAM,Flight
10/1/2021,ANTICS,Foolery
10/1/2021,SAP,Fool
9/30/2021,PEER,Colleague
9/30/2021,POUR,Decant
9/29/2021,PAPA,Daddy
9/29/2021,ENERGY,Vim
9/29/2021,HUE,Tone
9/29/2021,BASH,Shindig
9/29/2021,EVENUP,Square
9/29/2021,DISUSE,Neglect
9/29/2021,ALIEN,Otherworldly
9/28/2021,WANED,Ebbed
9/28/2021,ILK,Type
9/28/2021,PLEAD,Beg
9/28/2021,VIA,Through
9/28/2021,TEAURN,Samovar
9/28/2021,ALTER,Change
9/28/2021,SEED,Germ
9/28/2021,TEARAPART,Rend
9/27/2021,OVERT,Obvious
9/27/2021,AIR,Broadcast
9/27/2021,TRIPS,Stumbles
9/27/2021,GNUS,Wildebeests
9/27/2021,ILL,Sick
9/26/2021,ADO,Trouble
9/26/2021,ASSUAGE,Soothe
9/26/2021,OGRES,Brutes
9/26/2021,NADA,Zip
9/26/2021,BEST,Tops
9/26/2021,STASH,Store
9/26/2021,HIP,Trendy
9/26/2021,SOCALLED,Alleged
9/26/2021,TRITE,Overdone
9/26/2021,IMPINGE,Encroach
9/26/2021,STARES,Gawps
9/25/2021,UPS,Boosts
9/25/2021,NOMAD,Wanderer
9/25/2021,ATEASE,Loose
9/25/2021,LOYALIST,Stalwart
9/25/2021,RUCKUS,Rowdydow
9/25/2021,ACCOST,Confront
9/25/2021,ACTING,Interim
9/25/2021,BODE,Presage
9/25/2021,NIT,Quibble
9/24/2021,SEED,Pip
9/23/2021,RIGID,Unbending
9/23/2021,PHYSED,Gym
9/23/2021,BAWLS,Blubbers
