Date,Word,Clue,Detected_Language
10/19/2021,OTTO,"Eight, in Italian",en
10/16/2021,PALMEDOR,Big award in French cinema,en
10/15/2021,HEIDI,Children's classic originally written in German,en
10/15/2021,PESTO,"Sauce whose name derives from ""pound"" in Italian",en
10/13/2021,ESO,"That, in Spanish",en
10/7/2021,SISI,Enthusiastic assent in Spanish,en
10/1/2021,ITO,Diminutive suffix in Spanish,en
9/25/2021,OTTO,Palindromic number in Italian,en
9/20/2021,CINQ,"Five, in French",en
9/19/2021,AMARE,"To love, in Italian",en
9/1/2021,ESO,"That, in Spanish",en
8/29/2021,CASTANET,Instrument heard in Spanish folk music,en
8/27/2021,COSI,"""So,"" in Italian",en
7/31/2021,ENTRE,"13-Across, in French",en
5/14/2021,TRAILMIXES,"Snacks known as ""student fodder"" and ""scroggin"" in Germany and New Zealand, respectively",en
5/12/2021,ETALII,"And others, in Latin",en
5/12/2021,DENADA,"""You're welcome,"" in Spanish",en
5/10/2021,PERE,"Father, in French",en
5/7/2021,ESSE,"Ab ___ (absent, in Latin)",de
4/17/2021,SAGE,Common additive to melted butter in Italian cuisine,en
3/26/2021,RICH,"Like sauces in French cuisine, typically",en
3/12/2021,SISISI,Emphatic agreement in Latin America,en
2/27/2021,SUEDE,Material whose name is a Scandinavian country in French,en
2/23/2021,SER,"To be, in Spanish",en
2/6/2021,LEO,First name in Russian literature,en
1/13/2021,ERBE,Flavorers in Italian cookery,en
11/19/2020,FIXE,"Set, in French",de
10/25/2020,OTRA,"___ vez (again, in Spanish)",en
10/18/2020,OTRO,"Como ningun ___ (unique, in Spanish)",fr
8/17/2020,IDEST,"That is to say, in Latin",en
8/8/2020,ERE,Infinitive verb suffix in Italian,en
8/6/2020,OTRA,"___ vez (again, in Spanish)",en
8/5/2020,ESTO,"This, in Spanish",en
7/28/2020,ROI,Key piece in French chess,en
7/26/2020,ESO,"That, in Spanish",en
7/12/2020,MIROS,Certain Spanish Surrealist paintings,en
6/3/2020,AIME,"""Je t'___"" (""I love you,"" in French)",en
4/25/2020,OREL,"City whose name means ""eagle"" in Russian",en
4/22/2020,VENTI,"20, in Italian",en
4/12/2020,UOMO,"Man, in Italian",tl
3/26/2020,VAMOS,"""Let's go!,"" in Spanish",en
12/6/2019,ITA,Feminine suffix in Spanish names,en
9/22/2019,CREDO,"""I believe,"" in Latin",nl
9/22/2019,SANCTI,"Holy, in Latin phrases",en
8/7/2019,BEEMER,"Certain German wheels, informally",en
6/30/2019,TSE,"First letter of ""tsar"" in Russian",en
6/20/2019,STPAULIGIRL,"Popular product of Bremen, Germany, not sold in Germany",en
5/31/2019,OTTO,Man's name that's a number in Italian,en
5/18/2019,CASABLANCA,Acclaimed 1942 film banned in Germany until after W.W. II,en
4/26/2019,PIE,"What ""pizza"" means in Italian",en
4/21/2019,MOTTO,Line often in Latin,de
4/18/2019,EIN,A in German 101?,en
4/13/2019,OPERA,"""___ in English is, in the main, just about as sensible as baseball in Italian"": H. L. Mencken",en
3/4/2019,HESSE,Brecht contemporary in German literature,en
2/4/2019,BLINI,Thin Russian pancakes,en
1/26/2019,PRIMUS,"First, in Latin",de
1/21/2019,AMOR,"Love, in Latin",en
12/24/2018,BESO,"Kiss, in Spanish",en
12/2/2018,ARIA,It's frequently in Italian,en
11/21/2018,SIEG,"Victory, in German",en
10/16/2018,ERAT,"""He was,"" in Latin",en
7/18/2018,COTY,Big name in French perfumes,en
7/1/2018,SERTS,Certain Spanish murals,en
5/27/2018,TRISTE,"Sad, in French or Spanish",en
4/2/2018,KIROV,Big name in Russian ballet,af
1/28/2018,TILDE,High mark in Spanish class?,en
1/1/2018,CALAMARI,"Squid, in Italian cuisine",it
7/24/2017,AMO,"I love, in Latin",it
3/19/2017,NIHIL,"Nothing, in Latin",en
2/25/2017,BLU,Primary color in italiano,en
2/9/2017,QUA,"Where or why, in Latin",en
1/24/2017,IDEST,"Namely, in Latin",en
1/1/2017,ELLA,"She, in Spanish",en
11/7/2016,IVORYCOAST,West African country whose name is usually rendered in French,en
10/25/2016,MARIPOSA,"Tuliplike flower whose name means ""butterfly"" in Spanish",en
9/25/2016,QUE,"""___ linda!"" (""How pretty!,"" in Spanish)",en
8/1/2016,DONNA,"Woman's name that means ""woman"" in Italian",en
7/17/2016,OROYPLATA,Only U.S. state motto in Spanish,en
7/11/2016,TRE,2 + 1 in italiano,it
7/6/2016,TARDES,"""Buenas ___"" (""Good afternoon,"" in Spanish)",en
6/20/2016,ICH,"I, in Germany",id
5/18/2016,THE,Article with no equivalent in Russian,en
5/5/2016,VERSACE,Big name in Italian fashion,en
3/27/2016,DREI,"1 + 2, in Germany",en
3/16/2016,ESA,"That, in Spanish",en
2/17/2016,UNA,"A, in Spanish",en
1/19/2016,ORA,"13-Down, in Italian",en
1/6/2016,AUDI,"Automaker whose name means ""listen"" in Latin",en
12/13/2015,ESSO,"He, in Italian",en
12/6/2015,OEUF,French ingredient in French toast,en
11/5/2015,ANGELA,First name in German politics,en
10/14/2015,NIHIL,"Nothing, in Latin",en
10/11/2015,ELLES,"Those girls, in French",en
9/25/2015,QUOD,"Which, in Latin",en
9/16/2015,ZWEI,"Two, in German",en
8/23/2015,ARIA,Performance often in Italian,en
7/15/2015,STADT,"Town, in Germany",en
6/28/2015,OCHOS,Big figures in Spanish ice skating,en
6/12/2015,ENERO,Part of summer in Latinoamerica,en
6/1/2015,IDEST,"That is, in Latin",en
5/28/2015,MOTTOS,Lines often in Latin,en
5/5/2015,CASITA,"Small house, in Latin America",en
4/14/2015,SIEG,"Victory, in German",en
4/12/2015,FIBULA,"Bone whose name means ""clasp"" in Latin",en
4/10/2015,ZEIT,"Time, in Germany",id
2/3/2015,TIA,"Aunt, in Latin America",en
12/10/2014,LAS,Word in Spanish place names,en
11/13/2014,ALII,"Others, in Latin",en
10/19/2014,TILDES,Marks gotten in Spanish class?,en
9/2/2014,ESSE,"""To be,"" in Latin",en
7/15/2014,ALTE,"Old one, in German",en
7/4/2014,SOVIET,"It means ""council"" in Russian",en
7/1/2014,AMO,"""I love,"" in Latin",it
6/12/2014,FENNEL,Common flavorer in Italian sausage,en
5/23/2014,MONTERO,"Mitsubishi model whose name means ""huntsman"" in Spanish",en
5/12/2014,AQUA,"Water, in Latin",de
3/7/2014,NICHT,Not in Germany?,en
1/21/2014,OBER,"High, in German names",en
1/14/2014,BLIN,Thin Russian pancake,en
12/12/2013,LES,Article in French papers,en
7/17/2013,VOLVO,"Car make whose name means ""I roll"" in Latin",en
