Date,Word,Clue,Primary Cluster,Cluster,ends in question,number words,length of clue,no alphabet characters,is quote,contains underscore,contains asterisk,contains done,number of non-consecutive periods in clue,is ellipsis in clue,avg word length,number commas in clue,percentage words (other than first word) that are upper-case,number non a-z or 1-9 characters in clue,contains e.g.,contains etc.,quoted clues,contains dir.,"contains ,maybe"
10/23/2021,TUX,"Duds at an awards ceremony, maybe",Other,,False,6,33,6,False,False,False,False,0,False,4.666666666666667,1,0.16666666666666666,0.030303030303030304,False,False,False,False,True
10/22/2021,OOZE,"Move, maybe ominously",Other,,False,3,21,3,False,False,False,False,0,False,6.333333333333333,1,0.3333333333333333,0.047619047619047616,False,False,False,False,True
10/19/2021,PEST,"Persistent little sibling, maybe",Other,,False,4,32,4,False,False,False,False,0,False,7.25,1,0.0,0.03125,False,False,False,False,True
10/17/2021,OMITS,"Conveniently forgets to mention, maybe",Other,,False,5,38,5,False,False,False,False,0,False,6.8,1,0.0,0.02631578947368421,False,False,False,False,True
10/14/2021,TIKIBAR,"Stand by the pool, maybe",Other,,False,5,24,5,False,False,False,False,0,False,4.0,1,0.0,0.041666666666666664,False,False,False,False,True
10/11/2021,ARTBOOK,"Purchase at the Met museum, maybe",Other,,False,6,33,6,False,False,False,False,0,False,4.666666666666667,1,0.16666666666666666,0.030303030303030304,False,False,False,False,True
10/7/2021,EXAM,"Proctored event, maybe",Other,,False,3,22,3,False,False,False,False,0,False,6.666666666666667,1,0.3333333333333333,0.045454545454545456,False,False,False,False,True
10/1/2021,QTIP,"Sample collector, maybe",Other,,False,3,23,3,False,False,False,False,0,False,7.0,1,0.3333333333333333,0.043478260869565216,False,False,False,False,True
9/29/2021,GAMER,"One playing with a mouse, maybe",Other,,False,6,31,6,False,False,False,False,0,False,4.333333333333333,1,0.0,0.03225806451612903,False,False,False,False,True
9/24/2021,IDLE,"Waiting for an assignment, maybe",Other,,False,5,32,5,False,False,False,False,0,False,5.6,1,0.0,0.03125,False,False,False,False,True
9/19/2021,FIDO,"Buddy of Buddy, maybe",Other,,False,4,21,4,False,False,False,False,0,False,4.5,1,0.5,0.047619047619047616,False,False,False,False,True
9/17/2021,SNEAK,"Tiptoe, maybe",Other,,False,2,13,2,False,False,False,False,0,False,6.0,1,0.5,0.07692307692307693,False,False,False,False,True
9/11/2021,BETS,"Puts down a few chips, maybe",Other,,False,6,28,6,False,False,False,False,0,False,3.8333333333333335,1,0.16666666666666666,0.03571428571428571,False,False,False,False,True
9/5/2021,TESTS,"Doctor's orders, maybe",Other,,False,3,22,4,False,False,False,False,0,False,6.666666666666667,1,0.0,0.09090909090909091,False,False,False,False,True
9/2/2021,AWOL,"Like someone receiving baseless accusations, maybe?",Other,,True,6,51,7,False,False,False,False,0,False,7.666666666666667,1,0.0,0.0392156862745098,False,False,False,False,True
