Clue,Expected Answer,Wikipedia Page Title,Title Match,Content Match,Searched Wikipedia Titles
"Action done while saying ""Good dog""",pat,Deadpool & Wolverine,False,True,"Docking (dog), Krypto, Good Burger, Midnight in the Garden of Good and Evil (film), Fixed (film), McGruff the Crime Dog, I Did a Thing, Frankenweenie (2012 film), Proverb, Action Park, Prey (2022 film), Affirmative action, Togo (film), Aladdin (2019 film), The Black Dog (song), John Wick (film), Dog meat, Jewish customs of etiquette, Your Friend the Rat, List of proverbial phrases, Uncharted: Drake's Fortune, Bonzo Dog Doo-Dah Band, Gladiator II, Uncharted (film), Captain America: Brave New World, Finnish grammar, Uncharted 2: Among Thieves, Diogenes, Classical conditioning, List of The Good Doctor episodes, George Santos, Paris Hilton, Olbermann (TV series), Pedigree Dogs Exposed: Three Years On, Charlie Kirk, List of individual dogs, Fifteen (band), Murder of Laci Peterson, Mister Mxyzptlk, The School for Good and Evil (film), Wolf Man (2025 film), Military brat (U.S. subculture), Fable II, Cowboy Bebop (2021 TV series), Alien 3, Cowboy Bebop: The Movie, No Time to Die, Twitter under Elon Musk, List of The Boys characters, Deadpool & Wolverine"
Mischief-makers,rascals,One Terrible Day,False,True,"Mischief Makers, Mischief Theatre, Mischief Makers (disambiguation), Mischief Makers (TV series), Urfi Javed, Treasure (company), WordGirl, The Mischief Makers, Mam'zelle Champagne, Shovavim, The Mischief Maker, Jack Frost, Satyr, Edward VIII, Platformer, Les Mistons, Jase Robertson, The Graves (film), Galician mythology, The Bahamas, One Terrible Day, Raijin, Leprechaun, Dele Giwa, Narathan, Noddy (character), Daphne du Maurier, Men at Work (1990 film), Mischief rule, Sally Jane Bruce, Joseph in Islam, Pukekohe massacre, Vaalu, Trickster, The Pink Panther (1963 film), King of Kotha, List of fictional gynoids, Direct Action Day, Baldr, Hypocrisy, Internet of things"
It might click for a writer,pen,Affiliate marketing,False,True,"Heroes of Might and Magic V, Albert Einstein, Website content writer, Donald Murray (writer), Onomatopoeia, Betteridge's law of headlines, The Order of the Day, Heroes of Might and Magic IV, Wikipedia, Christopher Walken, List of Death in Paradise episodes, Jennifer Coolidge, Metronome, Jason Ritter, Twitter, Muhammad Ali, List of Academy Award–nominated films, International Phonetic Alphabet, L'Aventure ambiguë, Evgeny Morozov, Brat (album), The Gray House, List of Philippine films of the 1950s, BROK the InvestiGator, Hamilton (musical), Drake–Kendrick Lamar feud, Bob Dylan, Sky High (2005 film), Kerplunk (album), Shel Kaphan, Amazon (company), Envy (novel), Maniac Mansion, Killing Me Softly with His Song, List of Doraemon (1979 TV series) episodes, What's for Dinner? (Severance), Jeff Bezos, The Death of Slim Shady (Coup de Grâce), Hackney Diamonds, ISBN, Airbus A380, List of political disinformation website campaigns in the United States, List of fictional diseases, Esli, Miss Christina, 2025 in video games, 99 Luftballons, Disappearance at Devil's Rock, United States, Affiliate marketing"
Fall mo.,sep,Maalaala Mo Kaya,False,True,"MØ, Mo McRae, McFall, Missouri, Mo Xi, Lil' Mo, Mo Yan, 5 Minutes (Lil' Mo song), Mo Farah, Sheck Wes, Ain't No Mo', Mo Willems, Agnez Mo (album), Araki language, Mo Mowlam, Can We Fall in Love, Mo Abudu, Mo' Better Blues, List of Maalaala Mo Kaya episodes, Mo Abualnadi, Mo Bamba (song), Milicja Obywatelska, Zhao Mo, Kansas City, Missouri, Timothy Mo, Mo Dao Zu Shi, St. Louis, Damon Wayans, 1999 Ang Mo Kio torture case, Falling into Your Smile, Murder of Moriah Wilson, Springfield, Missouri, Ang Mo Kio MRT station, Be Thou My Vision, Why Do Fools Fall in Love (film), Revolutions of 1989, Cosmos-class submarine, Mohamed Amin, Mo Courtney, Kamal Givens, 2019 MO, My Teacher (2017 film), Den of Thieves (film), Jay Mo, John Turturro, Lin Mo, Ysabel Ortega, Maalaala Mo Kaya season 25, Maalaala Mo Kaya, MØ discography, Mudboy (album)"
Kind to Mother Nature,eco,The Stand,False,True,"Angélique Kidjo, The Fosters season 2, Mary, mother of Jesus, Pregnancy over age 50, Pachamama, Aurora (singer), Little America (TV series), Ice Princess, Muslims for America, Jason Gould, Surrogacy, Open Season: Call of Nature, Nature versus nurture, Invincible (TV series), Mother goddess, Ric Flair, Cobie Smulders, Bene Gesserit, Anastacia, The Strange Thing About the Johnsons, Jim Carrey, Harry Harlow, The Fragrant Flower Blooms with Dignity, Mother Goose, Alicia Silverstone, Taylor Sheridan, The Joy Luck Club (novel), The Great Mother, Isabella Rossellini, Pantheon (TV series), Snowclone, Loss of Life, Genie (feral child), God, Human nature, Edmund Kemper, Jason Segel, Human Nature (2001 film), Jochebed, Patricia Arquette, Maria Callas, EarthBound, Guilty (Barbra Streisand and Barry Gibb song), Mother and Baby Homes Commission of Investigation, Mother Gothel, Zach Gilford, Martenitsa, Do You Love Your Mom and Her Two-Hit Multi-Target Attacks?, The Stand"
Harris in the Country Music Hall of Fame,emmylou,Emmylou Harris,True,True,"List of concert halls, City College of New York, List of Keys to the City in the United States, 2017 in the United States, 2018 New Year Honours, Musikfest, San Francisco, List of solved missing person cases: 1950–1999, List of unsolved murders in the United Kingdom (2000–present), W. E. B. Du Bois, List of killings by law enforcement officers in the United States prior to 2000, Piedmont Park, Index of Singapore-related articles, Ulysses S. Grant, Timeline of New York City, Public library, List of Murder, She Wrote episodes, List of The Donna Reed Show episodes, List of Country Music Hall of Fame inductees, Canadian Country Music Hall of Fame, List of Rock and Roll Hall of Fame inductees, Rock and Roll Hall of Fame, Emmylou Harris, List of accolades received by Elvis Presley, ARIA Hall of Fame, Gospel Music Hall of Fame, Nashville Songwriters Hall of Fame, List of outlaw country artists, List of awards and nominations received by Emmylou Harris, Musicians Hall of Fame and Museum, 1980 in country music, Blues Hall of Fame, Tom T. Hall, 2013 in country music, 2014 in country music, Bradley's Barn, Ricky Skaggs, 1984 in country music, Heartbreaker's Hall of Fame, 1999 in country music, K.d. lang, Gram Parsons, 1990 in country music, Louisiana Music Hall of Fame, Music City Walk of Fame, 1976 in country music, List of country performers by era, Charlie Daniels, Naomi Judd, List of awards and nominations received by Loretta Lynn, Country music, Dolly Parton, Music & the Spoken Word, Hank Snow, 2002 in country music, Alan Jackson, Roy Clark, Don Williams, 1998 in country music, List of Grammy Hall of Fame Award recipients (Q–Z), The Everly Brothers, 1992 in country music, Ray Charles, 1982 in country music, List of awards and nominations received by Johnny Cash, 2005 in country music, Emmylou Harris singles discography, List of Grammy Hall of Fame Award recipients (E–I)"
Living ___,wage,Living wage,True,True,"Brainiac (character), List of The Seven Deadly Sins characters, Living+, It's a Living, List of oldest living people, Living Stories, The Living Daylights, Living Legend, Living Single, Living lab, In Living Color, Living fossil, Living dinosaur, Standard of living, Simple living, New Living Translation, Sober living house, Living Things, Living Marxism, Living It, Living Walls, Christianity, Forever Living Products, Active living, List of living centenarians, Oldest people, Living and Living Well, Living wage, Living sculpture, The Living Tombstone, Living Colour, List of countries by GDP (nominal), Living Will, Living Tribunal, Living with the Living, Cost-of-living index, Taxonomy (biology), Senior living, List of presidents of the United States by age, Ethical living, Living root bridge, Living the Land, Living creatures (Bible), Better Living Through Chemistry, The Living Years, Living Proof, Library of Congress Living Legend, Night of the Living Cat, Assisted living, Living Constitution"
Member of the superfamily Hominoidea,ape,Ape,True,True,"Ape, Hominidae, Homininae, List of hominoids, Countries banning non-human ape experimentation, Catarrhini, Proconsulidae, Monkey, List of primates, Gorilla, Hominini, Gibbon–human last common ancestor, Orangutan, Human, Pan (genus), Primate, Timeline of human evolution, Afropithecus, Rukwapithecus, Aegyptopithecus, Nsungwepithecus, Oreopithecus, Dionysopithecidae, Pliopithecidae, Omomyidae, Pongidae, Nakalipithecus, List of mammals of Uganda, Victoriapithecus, Basal (phylogenetics), Kapi (mammal), Human evolutionary genetics, 2022 in paleomammalogy, 2010 in paleomammalogy, 2017 in paleomammalogy"
Haphazard,hitormiss,No Title Match,False,False,"Sampling (statistics), S. J. Tucker, Haphazard (Owensboro, Kentucky), Kluge (book), The Monkey (film), Mumbai Metropolitan Region, Mohammad Ali Jauhar, Real Book, Cameron Crovetti, Californication (word), Brad Pitt, Mr. Australia, Bahadur Shah Zafar, Willy-nilly (idiom), Original video animation, Brusselization, Hurûf-ı munfasıla, Hanoi, Yugi (film), Ju-On: The Curse, Jeff Beck, Peter Jackson, Adenomyosis, United States Numbered Highway System, Systems analysis, Call–Exner bodies, Bhubaneswar, Nodular fasciitis, Polyclinic, Twitch (Ministry album), S. J. Suryah, Macroecology, Paint (2023 film), So Long, and Thanks for All the Fish, 1936 NFL draft, Fear and Loathing on the Campaign Trail '72, The Passenger (1975 film), Cheaper by the Dozen (2022 film), Survivor South Africa: Island of Secrets, Lyra Belacqua, Planned community, All Hail King Julien, Robbin' the Hood, Destroyer (band)"
Some crumbly blocks,feta,Feta,True,True,"Cotija cheese, Philadelphia Cream Cheese, Feta, Turrón, The Wiggle, Manufacture of cheddar cheese, Cheddar cheese, Limburger, Brunello di Montalcino, Sinkhole, Shrimp paste, Rust, Cheese knife, Quark (dairy product), Cheese, Nonmetal, Devil's Chimney (Gloucestershire), List of cheeses, Cinnamon, Wood-decay fungus, Venice, History and culture of substituted amphetamines, Rigid panel, Mission Mountains, Cornish cuisine, Glossary of cricket terms, Waffle, Helsby, Moldova, Loblaw Companies, Soluntum, United Nations Development Programme, Battle of Agordat (1941), Special effects of Terminator 2: Judgment Day, Prokop, Belgrade, 162173 Ryugu, North West England, Driftless Area, Copperas Cove, Texas, Northern England, Glossary of viticulture terms, Hampton-on-Sea, Glossary of botanical terms, Kashmiri cuisine, Connaught Tunnel, Penarth, Christmas in Italy"
