Date,Word,Clue
9/22/2021,MIII,"1,003, in Roman numerals"
6/24/2021,VIV,Nickname composed only of Roman numerals
1/9/2021,GRECO,Roman leader?
7/20/2020,TEN,Roman numeral X
6/24/2020,CLI,"151, in old Rome"
5/23/2020,ACT,Word often followed by a Roman numeral
11/12/2019,DII,Roman 502
9/4/2019,MCI,"1101, in old Rome"
5/25/2019,DEATH,Tarot card that bears the numeral XIII
5/5/2019,DVI,"506, in old Rome"
3/7/2019,XCI,"91, in old Rome"
1/21/2019,SETONHALL,Roman Catholic-affiliated university in New Jersey
1/13/2019,AMEX,"Company with a Roman centurion logo, informally"
1/9/2019,MIX,Verb that's also a Roman numeral
10/1/2018,LXI,"61, in old Rome"
3/19/2018,LIII,"53, in old Rome"
11/6/2017,TEN,What X equals in Roman numerals
4/25/2017,LII,"52, in old Rome"
3/24/2017,PLEBS,Ancient Roman citizenry
3/7/2017,LII,"52, in old Rome"
2/4/2017,LIRE,Old Roman coins
4/13/2016,BATHS,Ancient Roman meeting places
1/2/2016,GRECO,Roman leader?
12/22/2015,CLI,Roman 151
6/20/2015,VIC,Man's nickname composed of three Roman numerals
6/1/2015,TEN,Roman numeral X
11/24/2014,CMI,"901, in old Rome"
10/28/2014,DVI,Roman 506
8/30/2014,SID,Non-Roman Caesar
7/31/2014,EXILE,"The Roman dramatist Seneca, once"
7/23/2014,DCIV,"604, in old Rome"
6/30/2014,TEN,Equivalent of a Roman X
5/6/2014,CLV,Roman 155
4/8/2014,MIX,Action verb that's also a Roman numeral
9/22/2013,EDILES,Roman magistrates
9/10/2013,DCCC,"800, in old Rome"
8/13/2013,MARCH,It was originally first on the Roman calendar
6/21/2013,MARS,Roman 18-Across
6/8/2013,LIV,Roman numeral that's also a name
5/17/2013,CERES,Roman Demeter
4/21/2013,MDLI,Roman 1551
2/10/2013,IDES,Roman calendar day
1/11/2013,ABE,"Sausage king Froman in ""Ferris Bueller's Day Off"""
1/3/2013,DENARII,Ancient Roman coins
12/17/2012,CLI,"151, in old Rome"
10/12/2012,TERRA,Roman land
7/12/2012,CVII,Roman numeral that's an anagram of part of Caesar's boast
5/20/2012,CATO,Roman censor
5/7/2012,CIV,"104, in old Rome"
1/23/2012,CAESAR,Roman leader who met his fate on the Ides of March
1/14/2012,UNODUETRE,Roman count?
12/25/2011,CML,Roman 950
11/29/2011,CATO,Ancient Roman censor
10/31/2011,CCL,"250, in old Rome"
9/5/2011,DXI,"511, in old Rome"
6/6/2011,MIV,"1,004, in old Rome"
5/2/2011,DII,"502, in old Rome"
3/22/2011,MVI,"1,006, in old Rome"
3/9/2011,CMI,Roman 901
2/20/2011,MII,"Roman 1,002"
2/18/2011,GRECO,Roman leader?
2/15/2011,CDI,"401, in old Rome"
2/1/2011,CMI,"901, in old Rome"
1/30/2011,MCL,"Roman 1,150"
12/28/2010,MCXL,"1140, in old Rome"
12/17/2010,EGO,Roman I
12/14/2010,LXI,"61, in old Rome"
6/17/2010,IGNIS,Top of a Roman candle?
6/1/2010,LVI,"56, in old Rome"
1/25/2010,CLI,"151, in old Rome"
1/11/2010,DLII,Roman 552
12/7/2009,LII,"52, in old Rome"
11/14/2009,YEAR,Many a Roman numeral
10/12/2009,LII,"52, in old Rome"
9/30/2009,LII,"52, in old Rome"
9/28/2009,OVID,Roman love poet
8/17/2009,CCC,Roman 300
7/7/2009,ETRURIA,Region of pre-Roman Italy
1/20/2009,LVI,This clue's number in Roman numerals
12/6/2008,ECCE,Roman cry
10/14/2008,CCLI,"251, in old Rome"
1/25/2008,SOREN,Archaeologist David who found the lost Roman city of Kourion
8/27/2007,CLI,"151, in old Rome"
5/8/2007,CDI,"401, in Roman times"
4/9/2007,LIII,"53, in old Rome"
3/19/2007,DCC,Roman 700
1/22/2007,MDL,"Roman 1,550"
1/15/2007,CXI,Roman 111
1/8/2007,CCC,Roman 300
12/31/2006,UOMO,Roman man
12/18/2006,CATO,Famed Roman censor
