Date,Word,Clue,Primary Cluster,Cluster,ends in question,number words,length of clue,no alphabet characters,is quote,contains underscore,contains asterisk,contains done,number of non-consecutive periods in clue,is ellipsis in clue,avg word length,number commas in clue,percentage words (other than first word) that are upper-case,number non a-z or 1-9 characters in clue,contains e.g.,contains etc.,in vocab,OnlyRoman,MentionsGeo,is analogy
10/21/2021,PALIN,Ferraro : Mondale :: ___ : McCain,Other,,False,7,33,13,False,True,False,False,0,False,3.857142857142857,0,0.2857142857142857,0.3939393939393939,False,False,False,False,False,True
10/17/2021,WINES,Bibliophile : books :: oenophile : ___,Other,,False,7,38,13,False,True,False,False,0,False,4.571428571428571,0,0.0,0.34210526315789475,False,False,True,False,False,True
9/27/2021,AGGIES,Longhorns : Texas :: ___ : Texas A&M,Other,,False,8,36,15,False,True,False,False,0,False,3.625,0,0.375,0.4166666666666667,False,False,True,False,False,True
9/26/2021,AMIGA,German : Freundin :: Spanish : ___,Other,,False,7,34,13,False,True,False,False,0,False,4.0,0,0.2857142857142857,0.38235294117647056,False,False,False,False,True,True
9/24/2021,RAND,£ : pound sterling :: R : ___,Other,,False,8,29,15,False,True,False,False,0,False,2.75,0,0.125,0.5172413793103449,False,False,True,False,False,True
9/19/2021,PESO,USD : dollar :: MXN : ___,Other,,False,7,25,13,False,True,False,False,0,False,2.7142857142857144,0,0.14285714285714285,0.52,False,False,True,False,False,True
9/15/2021,ORE,Cent : euro :: ___ : krona,Other,,False,7,26,13,False,True,False,False,0,False,2.857142857142857,0,0.0,0.5,False,False,True,False,False,True
8/15/2021,DASANI,Aquafina : PepsiCo :: ___ : Coca-Cola,Other,,False,7,37,14,False,True,False,False,0,False,4.428571428571429,0,0.42857142857142855,0.3783783783783784,False,False,False,False,False,True
7/23/2021,UNO,Diciembre : doce :: enero : ___,Other,,False,7,31,13,False,True,False,False,0,False,3.5714285714285716,0,0.0,0.41935483870967744,False,False,False,False,False,True
7/4/2021,TASTE,Auditory : sound :: gustatory : ___,Other,,False,7,35,13,False,True,False,False,0,False,4.142857142857143,0,0.0,0.37142857142857144,False,False,True,False,False,True
7/1/2021,HELLO,Hujambo : Swahili :: ___ : English,Other,,False,7,34,13,False,True,False,False,0,False,4.0,0,0.2857142857142857,0.38235294117647056,False,False,True,False,False,True
6/29/2021,HARRIS,Biden : Obama :: ___ : Biden,Other,,False,7,28,13,False,True,False,False,0,False,3.142857142857143,0,0.42857142857142855,0.4642857142857143,False,False,True,False,False,True
6/28/2021,EURO,$ : dollar :: &euro; : ___,Other,,False,7,26,16,False,True,False,False,0,False,2.857142857142857,0,0.0,0.6153846153846154,False,False,False,False,False,True
6/22/2021,TIGERS,Bruins : U.C.L.A. :: ___ : Princeton,Other,,False,7,36,17,False,True,False,False,4,False,4.285714285714286,0,0.2857142857142857,0.4722222222222222,False,False,True,False,False,True
5/24/2021,MEOW,Ribbit : frog :: ___ : cat,Other,,False,7,26,13,False,True,False,False,0,False,2.857142857142857,0,0.0,0.5,False,False,False,False,False,True
5/2/2021,BABOON,Cow : herd :: ___ : troop,Other,,False,7,25,13,False,True,False,False,0,False,2.7142857142857144,0,0.0,0.52,False,False,True,False,False,True
4/26/2021,BAA,Neigh : horse :: ___ : sheep,Other,,False,7,28,13,False,True,False,False,0,False,3.142857142857143,0,0.0,0.4642857142857143,False,False,True,False,False,True
4/8/2021,ASTRO,Dino : the Flintstones :: ___ : the Jetsons,Other,,False,9,43,15,False,True,False,False,0,False,3.888888888888889,0,0.2222222222222222,0.3488372093023256,False,False,False,False,False,True
2/21/2021,POD,Pride : lions :: ___ : dolphins,Other,,False,7,31,13,False,True,False,False,0,False,3.5714285714285716,0,0.0,0.41935483870967744,False,False,True,False,False,True
2/11/2021,ELMS,California : palms :: New England : ___,Other,,False,8,39,14,False,True,False,False,0,False,4.0,0,0.375,0.358974358974359,False,False,True,False,False,True
1/29/2021,SHARE,Twitter : retweet :: Facebook : ___,Other,,False,7,35,13,False,True,False,False,0,False,4.142857142857143,0,0.14285714285714285,0.37142857142857144,False,False,True,False,False,True
1/25/2021,CALF,Foal : mare :: ___ : cow,Other,,False,7,24,13,False,True,False,False,0,False,2.5714285714285716,0,0.0,0.5416666666666666,False,False,True,False,False,True
1/12/2021,PESO,Cordoba : Nicaragua :: ___ : Cuba,Other,,False,7,33,13,False,True,False,False,0,False,3.857142857142857,0,0.2857142857142857,0.3939393939393939,False,False,True,False,False,True
1/2/2021,AMIE,German : Freundin :: French : ___,Other,,False,7,33,13,False,True,False,False,0,False,3.857142857142857,0,0.2857142857142857,0.3939393939393939,False,False,False,False,True,True
12/27/2020,EMUS,Bevy : quails :: mob : ___,Other,,False,7,26,13,False,True,False,False,0,False,2.857142857142857,0,0.0,0.5,False,False,True,False,False,True
12/21/2020,BAAS,Neighs : horses :: ___ : sheep,Other,,False,7,30,13,False,True,False,False,0,False,3.4285714285714284,0,0.0,0.43333333333333335,False,False,True,False,False,True
12/13/2020,ODIN,Thor : Thursday :: ___ : Wednesday,Other,,False,7,34,13,False,True,False,False,0,False,4.0,0,0.2857142857142857,0.38235294117647056,False,False,True,False,False,True
11/5/2020,MOB,Pride : lions :: ___ : emus,Other,,False,7,27,13,False,True,False,False,0,False,3.0,0,0.0,0.48148148148148145,False,False,True,False,False,True
10/29/2020,PESO,Dinar : Iraq :: ___ : Chile,Other,,False,7,27,13,False,True,False,False,0,False,3.0,0,0.2857142857142857,0.48148148148148145,False,False,True,False,False,True
9/6/2020,IAN,Evan : Welsh :: ___ : Scottish,Other,,False,7,30,13,False,True,False,False,0,False,3.4285714285714284,0,0.2857142857142857,0.43333333333333335,False,False,True,False,False,True
9/3/2020,MAITRED,Theater : usher :: restaurant : ___,Other,,False,7,35,13,False,True,False,False,0,False,4.142857142857143,0,0.0,0.37142857142857144,False,False,False,False,False,True
8/28/2020,PARROT,Oscine : songbird :: psittacine : ___,Other,,False,7,37,13,False,True,False,False,0,False,4.428571428571429,0,0.0,0.35135135135135137,False,False,True,False,False,True
8/15/2020,TEAMO,"""Ich liebe dich"" : German :: ""___"" : Spanish",Other,,False,9,44,19,False,True,False,False,0,False,4.0,0,0.2222222222222222,0.4318181818181818,False,False,False,False,True,True
5/28/2020,TOAD,Pride : lion :: knot : ___,Other,,False,7,26,13,False,True,False,False,0,False,2.857142857142857,0,0.0,0.5,False,False,True,False,False,True
