Date,Word,Clue,Primary Cluster,Manual class,,ends in question,number words,length of clue,no alphabet characters,is quote,contains underscore,contains asterisk,contains done,number of non-consecutive periods in clue,is ellipsis in clue,avg word length,number commas in clue,percentage words (other than first word) that are upper-case,number non a-z or 1-9 characters in clue,contains e.g.,contains etc.,in vocab,OnlyRoman,MentionsGeo
9/26/2021,AMIGA,German : Freundin :: Spanish : ___,Other,Analogy fill in the blank,,TRUE,7,34,13,FALSE,TRUE,FALSE,FALSE,0,FALSE,4,0,0.2857142857142857,0.38235294117647056,FALSE,FALSE,FALSE,FALSE,TRUE
1/2/2021,AMIE,German : Freundin :: French : ___,Other,Analogy fill in the blank,,TRUE,7,33,13,FALSE,TRUE,FALSE,FALSE,0,FALSE,3.857142857142857,0,0.2857142857142857,0.3939393939393939,FALSE,FALSE,FALSE,FALSE,TRUE
10/17/2019,SRTA,Mlle. : France :: ___ : Spain,Other,Analogy fill in the blank,,FALSE,7,29,14,FALSE,TRUE,FALSE,FALSE,1,FALSE,3.2857142857142856,0,0.42857142857142855,0.4827586206896552,FALSE,FALSE,FALSE,FALSE,TRUE
9/23/2019,OUI,Si: Spanish :: ___ : French,Other,Analogy fill in the blank,,FALSE,6,27,12,FALSE,TRUE,FALSE,FALSE,0,FALSE,3.6666666666666665,0,0.3333333333333333,0.4444444444444444,FALSE,FALSE,FALSE,FALSE,TRUE
9/12/2019,LOT,Alitalia : Italy :: ___ : Poland,Other,Analogy fill in the blank,,FALSE,7,32,13,FALSE,TRUE,FALSE,FALSE,0,FALSE,3.7142857142857144,0,0.2857142857142857,0.40625,FALSE,FALSE,TRUE,FALSE,TRUE
11/14/2018,PAOLO,Paul : U.S. :: ___ : Italy,Other,Analogy fill in the blank,,FALSE,7,26,15,FALSE,TRUE,FALSE,FALSE,2,FALSE,2.857142857142857,0,0.42857142857142855,0.5769230769230769,FALSE,FALSE,TRUE,FALSE,TRUE
11/8/2018,SHE,Spanish : ella :: English : ___,Other,Analogy fill in the blank,,FALSE,7,31,13,FALSE,TRUE,FALSE,FALSE,0,FALSE,3.5714285714285716,0,0.14285714285714285,0.41935483870967744,FALSE,FALSE,TRUE,FALSE,TRUE
4/15/2018,DANKE,Gracias : Spanish :: ___ : German,Other,Analogy fill in the blank,,FALSE,7,33,13,FALSE,TRUE,FALSE,FALSE,0,FALSE,3.857142857142857,0,0.2857142857142857,0.3939393939393939,FALSE,FALSE,FALSE,FALSE,TRUE
3/18/2018,ETRE,Ser : Spanish :: ___ : French,Other,Analogy fill in the blank,,FALSE,7,29,13,FALSE,TRUE,FALSE,FALSE,0,FALSE,3.2857142857142856,0,0.2857142857142857,0.4482758620689655,FALSE,FALSE,FALSE,FALSE,TRUE
3/17/2018,VON,De : French :: ___ : German,Other,Analogy fill in the blank,,FALSE,7,27,13,FALSE,TRUE,FALSE,FALSE,0,FALSE,3,0,0.42857142857142855,0.48148148148148145,FALSE,FALSE,FALSE,FALSE,TRUE
3/8/2018,NED,ESP : Spain :: ___ : Netherlands,Other,Analogy fill in the blank,,FALSE,7,32,13,FALSE,TRUE,FALSE,FALSE,0,FALSE,3.7142857142857144,0,0.2857142857142857,0.40625,FALSE,FALSE,TRUE,FALSE,TRUE
2/26/2018,OUI,Si : Spain :: ___ : France,Other,Analogy fill in the blank,,FALSE,7,26,13,FALSE,TRUE,FALSE,FALSE,0,FALSE,2.857142857142857,0,0.2857142857142857,0.5,FALSE,FALSE,FALSE,FALSE,TRUE
1/31/2018,SER,Etre : French :: ___ : Spanish,Other,Analogy fill in the blank,,FALSE,7,30,13,FALSE,TRUE,FALSE,FALSE,0,FALSE,3.4285714285714284,0,0.2857142857142857,0.43333333333333335,FALSE,FALSE,TRUE,FALSE,TRUE
6/23/2017,WON,Peso : Mexico :: ___ : Korea,Other,Analogy fill in the blank,,FALSE,7,28,13,FALSE,TRUE,FALSE,FALSE,0,FALSE,3.142857142857143,0,0.2857142857142857,0.4642857142857143,FALSE,FALSE,TRUE,FALSE,TRUE
5/12/2017,TONYS,Molieres : France :: ___ : U.S.,Other,Analogy fill in the blank,,FALSE,7,31,15,FALSE,TRUE,FALSE,FALSE,2,FALSE,3.5714285714285716,0,0.2857142857142857,0.4838709677419355,FALSE,FALSE,TRUE,FALSE,TRUE
7/10/2016,DONNA,France : madame :: Italy : ___,Other,Analogy fill in the blank,,FALSE,7,30,13,FALSE,TRUE,FALSE,FALSE,0,FALSE,3.4285714285714284,0,0.2857142857142857,0.43333333333333335,FALSE,FALSE,TRUE,FALSE,TRUE
6/26/2016,ETRE,Sein : German :: ___ : French,Other,Analogy fill in the blank,,FALSE,7,29,13,FALSE,TRUE,FALSE,FALSE,0,FALSE,3.2857142857142856,0,0.2857142857142857,0.4482758620689655,FALSE,FALSE,FALSE,FALSE,TRUE
12/27/2015,TEAMO,Je t'aime : French :: ___ : Spanish,Other,Analogy fill in the blank,,FALSE,8,35,15,FALSE,TRUE,FALSE,FALSE,0,FALSE,3.5,0,0.375,0.42857142857142855,FALSE,FALSE,FALSE,FALSE,TRUE
6/22/2015,NYET,Non : French :: ___ : Russian,Other,Analogy fill in the blank,,FALSE,7,29,13,FALSE,TRUE,FALSE,FALSE,0,FALSE,3.2857142857142856,0,0.2857142857142857,0.4482758620689655,FALSE,FALSE,FALSE,FALSE,TRUE
4/4/2015,MERCI,Spasibo : Russian :: ___ : French,Other,Analogy fill in the blank,,FALSE,7,33,13,FALSE,TRUE,FALSE,FALSE,0,FALSE,3.857142857142857,0,0.2857142857142857,0.3939393939393939,FALSE,FALSE,FALSE,FALSE,TRUE
