Date,Word,Clue,Primary Cluster,Cluster,ends in question,number words,length of clue,no alphabet characters,is quote,contains underscore,contains asterisk,contains done,number of non-consecutive periods in clue,is ellipsis in clue,avg word length,number commas in clue,percentage words (other than first word) that are upper-case,number non a-z or 1-9 characters in clue,contains e.g.,contains etc.,in vocab,OnlyRoman,MentionsGeo,is analogy,quoted clues
4/23/1995,ESTA,"""??Como ___ usted?""",Other,Foreign language fill in the blank,FALSE,3,19,10,TRUE,TRUE,FALSE,FALSE,0,FALSE,5.666666666666667,0,0,0.5263157894736842,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
1/21/2003,MERCI,"""___ beaucoup""",Other,Foreign language fill in the blank,FALSE,2,14,6,TRUE,TRUE,FALSE,FALSE,0,FALSE,6.5,0,0,0.42857142857142855,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
4/6/2014,LETAT,"""___ c'est moi""",Other,Foreign language fill in the blank,FALSE,3,15,8,TRUE,TRUE,FALSE,FALSE,0,FALSE,4.333333333333333,0,0,0.5333333333333333,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
4/3/2014,MEA,"""___ culpa""",Other,Foreign language fill in the blank,FALSE,2,11,6,TRUE,TRUE,FALSE,FALSE,0,FALSE,5,0,0,0.5454545454545454,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2/24/2008,LES,"""___ Diaboliques""",Other,Foreign language fill in the blank,FALSE,2,17,6,TRUE,TRUE,FALSE,FALSE,0,FALSE,8,0,0.5,0.35294117647058826,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
8/3/2018,MON,"""___ Dieu!""",Other,Foreign language fill in the blank,FALSE,2,11,7,TRUE,TRUE,FALSE,FALSE,0,FALSE,5,0,0.5,0.6363636363636364,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
5/26/2011,ACH,"""___ du lieber!""",Other,Foreign language fill in the blank,FALSE,3,16,8,TRUE,TRUE,FALSE,FALSE,0,FALSE,4.666666666666667,0,0,0.5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
3/29/2000,COGITO,"""___ ergo sum""",Other,Foreign language fill in the blank,FALSE,3,14,7,TRUE,TRUE,FALSE,FALSE,0,FALSE,4,0,0,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
9/11/2016,HABLA,"""___ espanol?""",Other,Foreign language fill in the blank,FALSE,2,14,7,TRUE,TRUE,FALSE,FALSE,0,FALSE,6.5,0,0,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
7/26/2016,COSI,"""___ Fan Tutte""",Other,Foreign language fill in the blank,FALSE,3,15,7,TRUE,TRUE,FALSE,FALSE,0,FALSE,4.333333333333333,0,0.6666666666666666,0.4666666666666667,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
4/25/2010,COSI,"""___ fan tutte""",Other,Foreign language fill in the blank,FALSE,3,15,7,TRUE,TRUE,FALSE,FALSE,0,FALSE,4.333333333333333,0,0,0.4666666666666667,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
10/8/2017,TEMPUS,"""___ fugit""",Other,Foreign language fill in the blank,FALSE,2,11,6,TRUE,TRUE,FALSE,FALSE,0,FALSE,5,0,0,0.5454545454545454,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
1/18/1998,WIE,"""___ geht's?""",Other,Foreign language fill in the blank,FALSE,2,13,8,TRUE,TRUE,FALSE,FALSE,0,FALSE,6,0,0,0.6153846153846154,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
10/19/1997,QUE,"""___ hora es?""",Other,Foreign language fill in the blank,FALSE,3,14,8,TRUE,TRUE,FALSE,FALSE,0,FALSE,4,0,0,0.5714285714285714,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
7/30/2018,CEST,"""___ la vie""",Other,Foreign language fill in the blank,FALSE,3,12,7,TRUE,TRUE,FALSE,FALSE,0,FALSE,3.3333333333333335,0,0,0.5833333333333334,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
6/2/2012,VIVE,"""___ l'amour""",Other,Foreign language fill in the blank,FALSE,2,13,7,TRUE,TRUE,FALSE,FALSE,0,FALSE,6,0,0,0.5384615384615384,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
