Date,Word,Clue,Primary Cluster,Cluster,ends in question,number words,length of clue,no alphabet characters,is quote,contains underscore,contains asterisk,contains done,number of non-consecutive periods in clue,is ellipsis in clue,avg word length,number commas in clue,percentage words (other than first word) that are upper-case,number non a-z or 1-9 characters in clue,contains e.g.,contains etc.,quoted clues,contains dir.,"contains ,maybe",contains word before
10/26/2021,BOBA,Word before tea or Fett,Other,,False,5,23,4,False,False,False,False,0,False,3.8,0,0.4,0.0,False,False,False,False,False,True
10/21/2021,LIL,"Word before Kim, Wayne and Baby",Other,,False,6,31,6,False,False,False,False,0,False,4.333333333333333,1,0.6666666666666666,0.03225806451612903,False,False,False,False,False,True
10/21/2021,PALE,"Word before ""Blue Eyes"" or ""Blue Dot"" in titles",Other,,False,9,47,12,False,False,False,False,0,False,4.333333333333333,0,0.5555555555555556,0.0851063829787234,False,False,False,False,False,True
9/22/2021,SIDE,Word before dish or effect,Other,,False,5,26,4,False,False,False,False,0,False,4.4,0,0.2,0.0,False,False,False,False,False,True
9/20/2021,TURN,"Word before ""the tables"" or ""the tide""",Other,,False,7,38,10,False,False,False,False,0,False,4.571428571428571,0,0.14285714285714285,0.10526315789473684,False,False,False,False,False,True
9/5/2021,ARENA,Word before rock or football,Other,,False,5,28,4,False,False,False,False,0,False,4.8,0,0.2,0.0,False,False,False,False,False,True
8/30/2021,BODY,Word before language or temperature,Other,,False,5,35,4,False,False,False,False,0,False,6.2,0,0.2,0.0,False,False,False,False,False,True
8/15/2021,ICE,Word before cap or pop,Other,,False,5,22,4,False,False,False,False,0,False,3.6,0,0.2,0.0,False,False,False,False,False,True
7/27/2021,DAY,Word before trader or tripper,Other,,False,5,29,4,False,False,False,False,0,False,5.0,0,0.2,0.0,False,False,False,False,False,True
7/7/2021,INNER,Word before tube or circle,Other,,False,5,26,4,False,False,False,False,0,False,4.4,0,0.2,0.0,False,False,False,False,False,True
7/6/2021,ONE,"Word before ""More Night,"" ""More Try"" and ""More Chance"" in Billboard hits",Other,,False,12,72,18,False,False,False,False,0,False,5.083333333333333,1,0.6666666666666666,0.09722222222222222,False,False,False,False,False,True
6/22/2021,RAP,Word before sheet or battle,Other,,False,5,27,4,False,False,False,False,0,False,4.6,0,0.2,0.0,False,False,False,False,False,True
6/21/2021,ILL,"Word before ""bite"" or ""go""",Other,,False,5,26,8,False,False,False,False,0,False,4.4,0,0.2,0.15384615384615385,False,False,False,False,False,True
6/10/2021,JET,Word before black or Blue,Other,,False,5,25,4,False,False,False,False,0,False,4.2,0,0.4,0.0,False,False,False,False,False,True
